metric,n_samples,max_tokens,runtime
decontextualised,4,5,0.0582674199950025
decontextualised,4,10,0.10558638957271364
decontextualised,4,15,0.15340567286106946
decontextualised,8,5,0.059227330737131434
decontextualised,8,10,0.10833685221389305
decontextualised,8,15,0.15598952436531732
decontextualised,16,5,0.05988013079710145
decontextualised,16,10,0.10862558624187907
decontextualised,16,15,0.15805599172163917
decontextualised,32,5,0.0610171307996002
decontextualised,32,10,0.11062928953273364
decontextualised,32,15,0.15921256207896053
decontextualised,64,5,0.06789855038980509
decontextualised,64,10,0.12118713996251874
decontextualised,64,15,0.17441161493503246
decontextualised,128,5,0.07908449648175911
decontextualised,128,10,0.13635361095202397
decontextualised,128,15,0.19232565037231383
decontextualised,256,5,0.10916051372813593
decontextualised,256,10,0.17922976451274364
decontextualised,256,15,0.24935143060969514
decontextualised,512,5,0.189070806071964
decontextualised,512,10,0.3032480541154423
decontextualised,512,15,0.42307013158670664
expected_decontextualised,4,5,0.05826023185907046
expected_decontextualised,4,10,0.1055775225612194
expected_decontextualised,4,15,0.15339818677911046
expected_decontextualised,8,5,0.05924183293103448
expected_decontextualised,8,10,0.10835304010994502
expected_decontextualised,8,15,0.15600729990504747
expected_decontextualised,16,5,0.05997465772863568
expected_decontextualised,16,10,0.1087244744077961
expected_decontextualised,16,15,0.15815658752873565
expected_decontextualised,32,5,0.061405523653173415
expected_decontextualised,32,10,0.11101688767616191
expected_decontextualised,32,15,0.1596049498325837
expected_decontextualised,64,5,0.06937122806346827
expected_decontextualised,64,10,0.12266450585707146
expected_decontextualised,64,15,0.1758939453648176
expected_decontextualised,128,5,0.08477580472263868
expected_decontextualised,128,10,0.1420564366441779
expected_decontextualised,128,15,0.19803438704147927
expected_decontextualised,256,5,0.13149572928535733
expected_decontextualised,256,10,0.20157036893553223
expected_decontextualised,256,15,0.2716910259395302
expected_decontextualised,512,5,0.2774015326011994
expected_decontextualised,512,10,0.39157635898550724
expected_decontextualised,512,15,0.511408383908046
expected_seq_decontextualised,4,5,0.009680652581209396
expected_seq_decontextualised,4,10,0.010103405274862568
expected_seq_decontextualised,4,15,0.010150248530734632
expected_seq_decontextualised,8,5,0.01026523124187906
expected_seq_decontextualised,8,10,0.010354092733633184
expected_seq_decontextualised,8,15,0.010317155112443778
expected_seq_decontextualised,16,5,0.010694178533233383
expected_seq_decontextualised,16,10,0.011155451621689155
expected_seq_decontextualised,16,15,0.012102689327836081
expected_seq_decontextualised,32,5,0.011740451231884058
expected_seq_decontextualised,32,10,0.013374756099450274
expected_seq_decontextualised,32,15,0.01632217135182409
expected_seq_decontextualised,64,5,0.0156432927936032
expected_seq_decontextualised,64,10,0.022051373708145926
expected_seq_decontextualised,64,15,0.029481324335332335
expected_seq_decontextualised,128,5,0.028565178868065966
expected_seq_decontextualised,128,10,0.04282862465517241
expected_seq_decontextualised,128,15,0.05790202557471264
expected_seq_decontextualised,256,5,0.06412683225387307
expected_seq_decontextualised,256,10,0.09446226997251374
expected_seq_decontextualised,256,15,0.12509413171164419
expected_seq_decontextualised,512,5,0.16347203516241882
expected_seq_decontextualised,512,10,0.2238715088205897
expected_seq_decontextualised,512,15,0.28413346914792603
sequence_entropy,4,5,0.050350942751124436
sequence_entropy,4,10,0.09769368657171414
sequence_entropy,4,15,0.14550456761869066
sequence_entropy,8,5,0.05168954459270365
sequence_entropy,8,10,0.10077978649175412
sequence_entropy,8,15,0.14849155775112444
sequence_entropy,16,5,0.0527217686181909
sequence_entropy,16,10,0.10148121520739631
sequence_entropy,16,15,0.15088209227386307
sequence_entropy,32,5,0.054889751049475265
sequence_entropy,32,10,0.10456190059470265
sequence_entropy,32,15,0.15315877738630687
sequence_entropy,64,5,0.0639939361544228
sequence_entropy,64,10,0.11728263744877561
sequence_entropy,64,15,0.17042061821589205
sequence_entropy,128,5,0.07954308923288356
sequence_entropy,128,10,0.13684493659170416
sequence_entropy,128,15,0.19285254018490755
sequence_entropy,256,5,0.11817229071714143
sequence_entropy,256,10,0.1882315714467766
sequence_entropy,256,15,0.2582530371664168
sequence_entropy,512,5,0.20702707737631185
sequence_entropy,512,10,0.32111090370314843
sequence_entropy,512,15,0.4407578876461769
sequence_expected_prob,4,5,0.05035093703148426
sequence_expected_prob,4,10,0.09769368844327836
sequence_expected_prob,4,15,0.14550451093203398
sequence_expected_prob,8,5,0.05168951335082459
sequence_expected_prob,8,10,0.10077978334832582
sequence_expected_prob,8,15,0.14849149795352323
sequence_expected_prob,16,5,0.05272178448025987
sequence_expected_prob,16,10,0.10148121834082958
sequence_expected_prob,16,15,0.15088210822588705
sequence_expected_prob,32,5,0.054889715097451275
sequence_expected_prob,32,10,0.10456198519990005
sequence_expected_prob,32,15,0.15315876361569214
sequence_expected_prob,64,5,0.06399397898800599
sequence_expected_prob,64,10,0.11728271043228386
sequence_expected_prob,64,15,0.17042064155172412
sequence_expected_prob,128,5,0.07954362552973514
sequence_expected_prob,128,10,0.13684493390804597
sequence_expected_prob,128,15,0.19285250388055972
sequence_expected_prob,256,5,0.1181723986581709
sequence_expected_prob,256,10,0.18823162612943528
sequence_expected_prob,256,15,0.25825310738880564
sequence_expected_prob,512,5,0.20702739182658672
sequence_expected_prob,512,10,0.32111109531734133
sequence_expected_prob,512,15,0.440758123195902
surprisal_when_first_token,4,5,0.05035305296101949
surprisal_when_first_token,4,10,0.09769590047726137
