metric,n_samples,max_tokens,runtime
decontextualised,4,5,0.02686165819460046
decontextualised,4,10,0.028414794802556376
decontextualised,4,15,0.028359241759876037
decontextualised,8,5,0.028371531811279455
decontextualised,8,10,0.02832175279382805
decontextualised,8,15,0.028010675406578797
decontextualised,16,5,0.02798853279761078
decontextualised,16,10,0.02849036594505284
decontextualised,16,15,0.028892194004031008
decontextualised,32,5,0.02796032638399144
decontextualised,32,10,0.02907978035552516
decontextualised,32,15,0.02793274747100267
decontextualised,64,5,0.028147001379257512
decontextualised,64,10,0.027844238255288492
decontextualised,64,15,0.028410140860573252
decontextualised,128,5,0.029528565914481348
decontextualised,128,10,0.029175371581729746
decontextualised,128,15,0.02948951940398102
decontextualised,256,5,0.03515327537511046
decontextualised,256,10,0.03601994566002227
decontextualised,256,15,0.0377274640025065
decontextualised,512,5,0.05038732018172945
decontextualised,512,10,0.05460436404685374
decontextualised,512,15,0.05835877582726606
expected_decontextualised,4,5,0.026341865284498018
expected_decontextualised,4,10,0.02790090911204807
expected_decontextualised,4,15,0.027844716612735052
expected_decontextualised,8,5,0.027860165129079694
expected_decontextualised,8,10,0.02780883625150461
expected_decontextualised,8,15,0.02749450222950221
expected_decontextualised,16,5,0.027476912871927803
expected_decontextualised,16,10,0.027978017959707994
expected_decontextualised,16,15,0.028377856226438767
expected_decontextualised,32,5,0.027450310729770833
expected_decontextualised,32,10,0.028567913856394286
expected_decontextualised,32,15,0.02742069274575155
expected_decontextualised,64,5,0.027643452221044435
expected_decontextualised,64,10,0.027341183221747577
expected_decontextualised,64,15,0.027904762061130645
expected_decontextualised,128,5,0.02905253795334286
expected_decontextualised,128,10,0.028702670722534164
expected_decontextualised,128,15,0.029073335774250697
expected_decontextualised,256,5,0.034769931523803664
expected_decontextualised,256,10,0.03565175687963135
expected_decontextualised,256,15,0.037446746158948795
expected_decontextualised,512,5,0.05025423268338053
expected_decontextualised,512,10,0.05447395886544726
expected_decontextualised,512,15,0.05825260502526958
expected_seq_decontextualised,4,5,0.0002822886673731802
expected_seq_decontextualised,4,10,0.00024232846151416712
expected_seq_decontextualised,4,15,0.0003091416789583166
expected_seq_decontextualised,8,5,0.0001710130168263603
expected_seq_decontextualised,8,10,0.0002511564907751846
expected_seq_decontextualised,8,15,0.00017071779234819972
expected_seq_decontextualised,16,5,0.00021166137051866458
expected_seq_decontextualised,16,10,0.00029764123458245043
expected_seq_decontextualised,16,15,0.0007847835951595578
expected_seq_decontextualised,32,5,0.0002634389294356734
expected_seq_decontextualised,32,10,0.0006374200406270118
expected_seq_decontextualised,32,15,0.0010860325429664281
expected_seq_decontextualised,64,5,0.0006250962805037028
expected_seq_decontextualised,64,10,0.0015376080903142942
expected_seq_decontextualised,64,15,0.0012531611257853654
expected_seq_decontextualised,128,5,0.0014702324358187198
expected_seq_decontextualised,128,10,0.0013399069066693337
expected_seq_decontextualised,128,15,0.00169059548537429
expected_seq_decontextualised,256,5,0.0013208100920010222
expected_seq_decontextualised,256,10,0.00208429555509336
expected_seq_decontextualised,256,15,0.0017399481922735936
expected_seq_decontextualised,512,5,0.0033597157858873635
expected_seq_decontextualised,512,10,0.0040110633060022
expected_seq_decontextualised,512,15,0.0031487820979058654
sequence_entropy,4,5,0.02632595497137429
sequence_entropy,4,10,0.027874801916052384
sequence_entropy,4,15,0.02782779100767508
sequence_entropy,8,5,0.027735861839501833
sequence_entropy,8,10,0.02768870485977929
sequence_entropy,8,15,0.02736917417257544
sequence_entropy,16,5,0.02745379528962694
sequence_entropy,16,10,0.027959254642163915
sequence_entropy,16,15,0.02835726139995693
sequence_entropy,32,5,0.027258820391717318
sequence_entropy,32,10,0.028546023047922864
sequence_entropy,32,15,0.027397347202978005
sequence_entropy,64,5,0.027492797306318983
sequence_entropy,64,10,0.027262848187853454
sequence_entropy,64,15,0.027756202557583643
sequence_entropy,128,5,0.029016097096481577
sequence_entropy,128,10,0.028674249371163692
sequence_entropy,128,15,0.029053041352034452
sequence_entropy,256,5,0.03464527101156783
sequence_entropy,256,10,0.03555098158121988
sequence_entropy,256,15,0.0373953472505221
sequence_entropy,512,5,0.050024118241850365
sequence_entropy,512,10,0.054216870623794995
sequence_entropy,512,15,0.05781126623702342
sequence_expected_prob,4,5,0.026325952253747297
sequence_expected_prob,4,10,0.02787480876971344
sequence_expected_prob,4,15,0.027827795587559743
sequence_expected_prob,8,5,0.02773585799995711
sequence_expected_prob,8,10,0.027688707974611464
sequence_expected_prob,8,15,0.027369173682086342
sequence_expected_prob,16,5,0.02745380140814384
sequence_expected_prob,16,10,0.027959249211247702
sequence_expected_prob,16,15,0.02835726117358208
sequence_expected_prob,32,5,0.027258807811400346
sequence_expected_prob,32,10,0.028546021324230602
